; CSV, generated by libsigrok4DSL 0.2.0 on Mon Dec 28 15:50:45 2020
; Channels (6/16)
; Sample rate: 10 MHz
; Sample count: 17.179832320 G Samples
Time(s), 0, 1, 2, 3, 4, 5
12.1618264,1,0,0,0,0,0
12.2119298,0,0,0,0,0,0
12.2620183,1,0,0,0,0,0
12.3122663,0,0,0,0,0,0
12.3623535,1,0,0,0,0,0
12.4124467,0,0,0,0,0,0
12.4625434,1,0,0,0,0,0
12.5127839,0,0,0,0,0,0
12.5628808,1,0,0,0,0,0
12.6129765,0,0,0,0,0,0
12.6630857,1,0,0,0,0,0
12.7133529,0,0,0,0,0,0
12.7634517,1,0,0,0,0,0
12.8135517,0,0,0,0,0,0
12.8636402,1,0,0,0,0,0
12.9138778,0,0,0,0,0,0
12.9639621,1,0,0,0,0,0
13.0140531,0,0,0,0,0,0
13.0641521,1,0,0,0,0,0
13.1144108,0,0,0,0,0,0
13.164503,1,0,0,0,0,0
13.2145949,0,0,0,0,0,0
13.2646781,1,0,0,0,0,0
13.3149243,0,0,0,0,0,0
13.3650187,1,0,0,0,0,0
13.4151085,0,0,0,0,0,0
13.4652216,1,0,0,0,0,0
13.5154764,0,0,0,0,0,0
13.5655769,1,0,0,0,0,0
13.6156785,0,0,0,0,0,0
13.6657815,1,0,0,0,0,0
13.7160325,0,0,0,0,0,0
13.7661399,1,0,0,0,0,0
13.8162386,0,0,0,0,0,0
13.8663366,1,0,0,0,0,0
13.9165948,0,0,0,0,0,0
13.9667054,1,0,0,0,0,0
14.0168097,0,0,0,0,0,0
14.0669149,1,0,0,0,0,0
14.1171797,0,0,0,0,0,0
14.1672985,1,0,0,0,0,0
14.2174097,0,0,0,0,0,0
14.26752,1,0,0,0,0,0
14.3177678,0,0,0,0,0,0
14.3678674,1,0,0,0,0,0
14.417971,0,0,0,0,0,0
14.4680765,1,0,0,0,0,0
14.5183381,0,0,0,0,0,0
14.5684449,1,0,0,0,0,0
14.618557,0,0,0,0,0,0
14.668652,1,0,0,0,0,0
14.7189044,0,0,0,0,0,0
14.7690048,1,0,0,0,0,0
14.8191123,0,0,0,0,0,0
14.8692172,1,0,0,0,0,0
14.9194626,0,0,0,0,0,0
14.9695595,1,0,0,0,0,0
15.0196565,0,0,0,0,0,0
15.0697519,1,0,0,0,0,0
15.1200012,0,0,0,0,0,0
15.1700951,1,0,0,0,0,0
15.2201806,0,0,0,0,0,0
15.2702743,1,0,0,0,0,0
15.3205327,0,0,0,0,0,0
15.3706226,1,0,0,0,0,0
15.4207305,0,0,0,0,0,0
15.4708329,1,0,0,0,0,0
15.521079,0,0,0,0,0,0
15.5711703,1,0,0,0,0,0
15.621277,0,0,0,0,0,0
15.6713798,1,0,0,0,0,0
15.7216258,0,0,0,0,0,0
15.771714,1,0,0,0,0,0
15.821809,0,0,0,0,0,0
15.8719158,1,0,0,0,0,0
15.922169,0,0,0,0,0,0
15.9722712,1,0,0,0,0,0
16.0223857,0,0,0,0,0,0
16.0724885,1,0,0,0,0,0
16.1227452,0,0,0,0,0,0
16.1728371,1,0,0,0,0,0
16.2229372,0,0,0,0,0,0
16.2730241,1,0,0,0,0,0
16.3232642,0,0,0,0,0,0
16.373358,1,0,0,0,0,0
16.4234454,0,0,0,0,0,0
16.4735393,1,0,0,0,0,0
16.523776,0,0,0,0,0,0
16.5738714,1,0,0,0,0,0
16.6239837,0,0,0,0,0,0
16.6740909,1,0,0,0,0,0
16.7243509,0,0,0,0,0,0
16.774464,1,0,0,0,0,0
16.8245623,0,0,0,0,0,0
16.8746613,1,0,0,0,0,0
16.9249042,0,0,0,0,0,0
16.9749913,1,0,0,0,0,0
17.0250812,0,0,0,0,0,0
17.0751847,1,0,0,0,0,0
17.1254437,0,0,0,0,0,0
17.175522,1,0,0,0,0,0
17.2256145,0,0,0,0,0,0
17.2757083,1,0,0,0,0,0
17.3259462,0,0,0,0,0,0
17.3760397,1,0,0,0,0,0
17.4261346,0,0,0,0,0,0
17.4762357,1,0,0,0,0,0
17.5264922,0,0,0,0,0,0
17.5766003,1,0,0,0,0,0
17.6266996,0,0,0,0,0,0
17.6767963,1,0,0,0,0,0
17.7270581,0,0,0,0,0,0
17.7771802,1,0,0,0,0,0
17.8272962,0,0,0,0,0,0
17.8774232,1,0,0,0,0,0
17.9277026,0,0,0,0,0,0
17.9778195,1,0,0,0,0,0
18.0279402,0,0,0,0,0,0
18.0780596,1,0,0,0,0,0
18.1283245,0,0,0,0,0,0
18.1784379,1,0,0,0,0,0
18.2285543,0,0,0,0,0,0
18.2786579,1,0,0,0,0,0
18.328916,0,0,0,0,0,0
18.3790345,1,0,0,0,0,0
18.4291324,0,0,0,0,0,0
18.4792291,1,0,0,0,0,0
18.5294836,0,0,0,0,0,0
18.5795808,1,0,0,0,0,0
18.6296758,0,0,0,0,0,0
18.6797668,1,0,0,0,0,0
18.7300284,0,0,0,0,0,0
18.7801331,1,0,0,0,0,0
18.8302407,0,0,0,0,0,0
18.8803513,1,0,0,0,0,0
18.9305964,0,0,0,0,0,0
18.9807003,1,0,0,0,0,0
19.0307975,0,0,0,0,0,0
19.0809059,1,0,0,0,0,0
19.1311596,0,0,0,0,0,0
19.1812632,1,0,0,0,0,0
19.2313591,0,0,0,0,0,0
19.2814597,1,0,0,0,0,0
19.3317105,0,0,0,0,0,0
19.3818137,1,0,0,0,0,0
19.4319241,0,0,0,0,0,0
19.4820366,1,0,0,0,0,0
19.5322869,0,0,0,0,0,0
19.5823931,1,0,0,0,0,0
19.6325043,0,0,0,0,0,0
19.6826187,1,0,0,0,0,0
19.7328841,0,0,0,0,0,0
19.7829935,1,0,0,0,0,0
19.8331031,0,0,0,0,0,0
19.8831994,1,0,0,0,0,0
19.9334508,0,0,0,0,0,0
19.983547,1,0,0,0,0,0
20.0336389,0,0,0,0,0,0
20.0837431,1,0,0,0,0,0
20.1340025,0,0,0,0,0,0
20.1841088,1,0,0,0,0,0
20.2342039,0,0,0,0,0,0
20.2843017,1,0,0,0,0,0
20.3345493,0,0,0,0,0,0
20.3846423,1,0,0,0,0,0
20.4347415,0,0,0,0,0,0
20.4848401,1,0,0,0,0,0
20.5351015,0,0,0,0,0,0
20.5852025,1,0,0,0,0,0
20.6352907,0,0,0,0,0,0
20.6853846,1,0,0,0,0,0
20.7356396,0,0,0,0,0,0
20.7857437,1,0,0,0,0,0
20.8358439,0,0,0,0,0,0
20.8859451,1,0,0,0,0,0
20.9362009,0,0,0,0,0,0
20.9863143,1,0,0,0,0,0
21.0364194,0,0,0,0,0,0
21.0865391,1,0,0,0,0,0
21.1367998,0,0,0,0,0,0
21.1869149,1,0,0,0,0,0
21.2370185,0,0,0,0,0,0
21.2871183,1,0,0,0,0,0
21.3373804,0,0,0,0,0,0
21.3874858,1,0,0,0,0,0
21.4375941,0,0,0,0,0,0
21.4876989,1,0,0,0,0,0
21.5379577,0,0,0,0,0,0
21.5880622,1,0,0,0,0,0
21.638154,0,0,0,0,0,0
21.6882542,1,0,0,0,0,0
21.7385095,0,0,0,0,0,0
21.7886133,1,0,0,0,0,0
21.8387163,0,0,0,0,0,0
21.8888182,1,0,0,0,0,0
21.939083,0,0,0,0,0,0
21.9891842,1,0,0,0,0,0
22.0392876,0,0,0,0,0,0
22.0893934,1,0,0,0,0,0
22.139639,0,0,0,0,0,0
22.1897347,1,0,0,0,0,0
22.2398376,0,0,0,0,0,0
22.2899464,1,0,0,0,0,0
22.3402056,0,0,0,0,0,0
22.3903039,1,0,0,0,0,0
22.4404115,0,0,0,0,0,0
22.4905052,1,0,0,0,0,0
22.5407633,0,0,0,0,0,0
22.5908658,1,0,0,0,0,0
22.6409707,0,0,0,0,0,0
22.6910817,1,0,0,0,0,0
22.7413437,0,0,0,0,0,0
22.7914404,1,0,0,0,0,0
22.8415256,0,0,0,0,0,0
22.8916335,1,0,0,0,0,0
22.9418912,0,0,0,0,0,0
22.9920017,1,0,0,0,0,0
23.0421104,0,0,0,0,0,0
23.0922276,1,0,0,0,0,0
23.1424931,0,0,0,0,0,0
23.192614,1,0,0,0,0,0
23.2427127,0,0,0,0,0,0
23.2928138,1,0,0,0,0,0
23.3430665,0,0,0,0,0,0
23.3931633,1,0,0,0,0,0
23.4432602,0,0,0,0,0,0
23.4933495,1,0,0,0,0,0
23.5436015,0,0,0,0,0,0
23.5936919,1,0,0,0,0,0
23.6437786,0,0,0,0,0,0
23.693865,1,0,0,0,0,0
23.7441031,0,0,0,0,0,0
23.7942029,1,0,0,0,0,0
23.8443005,0,0,0,0,0,0
23.8943994,1,0,0,0,0,0
23.9446316,0,0,0,0,0,0
23.9947135,1,0,0,0,0,0
24.0447912,0,0,0,0,0,0
24.0948764,1,0,0,0,0,0
24.1451236,0,0,0,0,0,0
24.1952223,1,0,0,0,0,0
24.2453135,0,0,0,0,0,0
24.2954152,1,0,0,0,0,0
24.34568,0,0,0,0,0,0
24.3957906,1,0,0,0,0,0
24.4459133,0,0,0,0,0,0
24.4960327,1,0,0,0,0,0
24.5462947,0,0,0,0,0,0
24.5964037,1,0,0,0,0,0
24.6465173,0,0,0,0,0,0
24.6966189,1,0,0,0,0,0
24.7468785,0,0,0,0,0,0
24.7969915,1,0,0,0,0,0
24.8470998,0,0,0,0,0,0
24.8972027,1,0,0,0,0,0
24.9474628,0,0,0,0,0,0
24.9975784,1,0,0,0,0,0
25.0476944,0,0,0,0,0,0
25.0978096,1,0,0,0,0,0
25.1480703,0,0,0,0,0,0
25.1981851,1,0,0,0,0,0
25.2482982,0,0,0,0,0,0
25.2984177,1,0,0,0,0,0
25.3486838,0,0,0,0,0,0
25.3988014,1,0,0,0,0,0
25.4489177,0,0,0,0,0,0
25.4990115,1,0,0,0,0,0
25.5492699,0,0,0,0,0,0
25.5993654,1,0,0,0,0,0
25.6494649,0,0,0,0,0,0
25.6995621,1,0,0,0,0,0
25.7498101,0,0,0,0,0,0
25.7999184,1,0,0,0,0,0
25.8500344,0,0,0,0,0,0
25.9001281,1,0,0,0,0,0
25.9503791,0,0,0,0,0,0
26.0004706,1,0,0,0,0,0
26.0505644,0,0,0,0,0,0
26.1006672,1,0,0,0,0,0
26.1509261,0,0,0,0,0,0
26.2010298,1,0,0,0,0,0
26.2511386,0,0,0,0,0,0
26.301248,1,0,0,0,0,0
26.3515005,0,0,0,0,0,0
26.4016088,1,0,0,0,0,0
26.4517264,0,0,0,0,0,0
26.5018291,1,0,0,0,0,0
26.5520762,0,0,0,0,0,0
26.6021702,1,0,0,0,0,0
26.6522741,0,0,0,0,0,0
26.702375,1,0,0,0,0,0
26.7526178,0,0,0,0,0,0
26.8027182,1,0,0,0,0,0
26.8528159,0,0,0,0,0,0
26.9029202,1,0,0,0,0,0
26.9531803,0,0,0,0,0,0
27.0032718,1,0,0,0,0,0
27.0533603,0,0,0,0,0,0
27.103457,1,0,0,0,0,0
27.1537067,0,0,0,0,0,0
27.2038162,1,0,0,0,0,0
27.2539278,0,0,0,0,0,0
27.3040318,1,0,0,0,0,0
27.3542978,0,0,0,0,0,0
27.4043975,1,0,0,0,0,0
27.4545028,0,0,0,0,0,0
27.5046209,1,0,0,0,0,0
27.5548798,0,0,0,0,0,0
27.6049765,1,0,0,0,0,0
27.6550806,0,0,0,0,0,0
27.705192,1,0,0,0,0,0
27.7554631,0,0,0,0,0,0
27.8055633,1,0,0,0,0,0
27.8556628,0,0,0,0,0,0
27.9057635,1,0,0,0,0,0
27.9560253,0,0,0,0,0,0
28.0061344,1,0,0,0,0,0
28.0562294,0,0,0,0,0,0
28.1063414,1,0,0,0,0,0
28.1566047,0,0,0,0,0,0
28.2067074,1,0,0,0,0,0
28.2568228,0,0,0,0,0,0
28.3069313,1,0,0,0,0,0
28.3571915,0,0,0,0,0,0
28.4072979,1,0,0,0,0,0
28.4574008,0,0,0,0,0,0
28.5075114,1,0,0,0,0,0
28.5577702,0,0,0,0,0,0
28.6078837,1,0,0,0,0,0
28.6579818,0,0,0,0,0,0
28.7081012,1,0,0,0,0,0
28.7583551,0,0,0,0,0,0
28.8084476,1,0,0,0,0,0
28.8585503,0,0,0,0,0,0
28.9086621,1,0,0,0,0,0
28.9589269,0,0,0,0,0,0
29.009032,1,0,0,0,0,0
29.059139,0,0,0,0,0,0
29.1092561,1,0,0,0,0,0
29.1595262,0,0,0,0,0,0
29.2096428,1,0,0,0,0,0
29.259737,0,0,0,0,0,0
29.3098322,1,0,0,0,0,0
29.3600751,0,0,0,0,0,0
29.4101753,1,0,0,0,0,0
29.46028,0,0,0,0,0,0
29.5103922,1,0,0,0,0,0
29.5606446,0,0,0,0,0,0
29.6107451,1,0,0,0,0,0
29.6608468,0,0,0,0,0,0
29.7109444,1,0,0,0,0,0
29.7611912,0,0,0,0,0,0
29.8112838,1,0,0,0,0,0
29.861386,0,0,0,0,0,0
29.9114936,1,0,0,0,0,0
29.9617565,0,0,0,0,0,0
30.0118824,1,0,0,0,0,0
30.0620002,0,0,0,0,0,0
30.1120915,1,0,0,0,0,0
30.1623376,0,0,0,0,0,0
30.2124338,1,0,0,0,0,0
30.262521,0,0,0,0,0,0
30.3126162,1,0,0,0,0,0
30.3628638,0,0,0,0,0,0
30.4129574,1,0,0,0,0,0
30.4630632,0,0,0,0,0,0
30.5131619,1,0,0,0,0,0
30.5634083,0,0,0,0,0,0
30.6134969,1,0,0,0,0,0
30.6635836,0,0,0,0,0,0
30.7136829,1,0,0,0,0,0
30.7639371,0,0,0,0,0,0
30.8140172,1,0,0,0,0,0
30.8641035,0,0,0,0,0,0
