Time [s],Packet ID,MOSI,MISO
0.552419705,13,0x04,0x04
0.552427710,13,0x68,0x68
0.552435710,13,0x7B,0x7B
0.552443715,13,0x5F,0x5F
0.552451715,13,0x7F,0x7F
0.552459720,13,0x53,0x53
0.552467720,13,0x53,0x53
0.552475720,13,0x7B,0x7B
0.552483725,13,0x40,0x40
0.552491725,13,0x80,0x80
0.552499730,13,0x60,0x60
0.552507730,13,0x30,0x30
0.552515735,13,0x10,0x10
0.552523735,13,0x4A,0x4A
0.552531735,13,0xEA,0xEA
0.552539740,13,0xB4,0xB4
0.552547740,13,0x42,0x42
0.552555745,13,0x32,0x32
0.552563745,13,0xA2,0xA2
0.552571745,13,0xB4,0xB4
0.552579750,13,0x22,0x22
0.552587750,13,0xA2,0xA2
0.552595755,13,0x6A,0x6A
0.552603755,13,0x00,0x00
0.552611760,13,0xC9,0x00
0.552619760,13,0x0A,0x00
0.552627760,13,0xF2,0x00
0.599892140,14,0x55,0x55
0.599900145,14,0x6B,0x6B
0.599908145,14,0x7D,0x7D
0.599916150,14,0x91,0x91
0.599924150,14,0x71,0x71
0.599932155,14,0x04,0x04
0.599940155,14,0x68,0x68
0.599948155,14,0x7B,0x7B
0.599956160,14,0x5F,0x5F
0.599964160,14,0x7F,0x7F
0.599972165,14,0x53,0x53
0.599980165,14,0x53,0x53
0.599988165,14,0x7B,0x7B
0.599996170,14,0x40,0x40
0.600004170,14,0x80,0x80
0.600012175,14,0x60,0x60
0.600020175,14,0x30,0x30
0.600028180,14,0x10,0x10
0.600036180,14,0x4A,0x4A
0.600044180,14,0xEA,0xEA
0.600052185,14,0xB4,0xB4
0.600060185,14,0x42,0x42
0.600068190,14,0x32,0x32
0.600076190,14,0xA2,0xA2
0.600084195,14,0xB4,0xB4
0.600092195,14,0x22,0x22
0.600100195,14,0xA2,0xA2
0.600108200,14,0x6A,0x6A
0.600116200,14,0x00,0x00
0.600124205,14,0xC9,0x00
0.600132205,14,0x0A,0x00
0.600140205,14,0xF2,0x00
0.642403280,15,0x55,0x55
0.642411280,15,0x6B,0x6B
0.642419280,15,0x7D,0x7D
0.642427285,15,0x91,0x91
0.642435285,15,0x71,0x71
0.642443290,15,0x04,0x04
0.642451290,15,0x68,0x68
0.642459290,15,0x7B,0x7B
0.642467295,15,0x5F,0x5F
0.642475295,15,0x7F,0x7F
0.642483300,15,0x53,0x53
0.642491300,15,0x53,0x53
0.642499305,15,0x7B,0x7B
0.642507305,15,0x40,0x40
0.642515305,15,0x80,0x80
0.642523310,15,0x60,0x60
0.642531310,15,0x30,0x30
0.642539315,15,0x10,0x10
0.642547315,15,0x4A,0x4A
0.642555315,15,0xEA,0xEA
0.642563320,15,0xB4,0xB4
0.642571320,15,0x42,0x42
0.642579325,15,0x32,0x32
0.642587325,15,0xA2,0xA2
0.642595330,15,0xB4,0xB4
0.642603330,15,0x22,0x22
0.642611330,15,0xA2,0xA2
0.642619335,15,0x6A,0x6A
0.642627335,15,0x00,0x00
0.642635340,15,0xC9,0x00
0.642643340,15,0x0A,0x00
